ID, Category, Difficulty, FEN, Solution, GameLink, Date, Opening
260, Tattica Generica, Facile, 8/1P3pk1/7p/2K4P/8/r7/8/6q1 w - - 0 52, c5b4, https://www.chess.com/game/live/170847503836, 2026-06-28, Nimzowitsch Defense
261, Forchetta, Facile, R7/p2k1r2/2p3qp/3p4/1b6/1B3N2/PPP2PP1/R5K1 w - - 0 32, f3e5, https://www.chess.com/game/live/170830987210, 2026-06-28, Philidor Defense
262, Tattica Generica, Media, 8/R4r2/2pk2qp/3p4/1b6/1B3N2/PPP2PP1/R5K1 w - - 1 33, a7f7, https://www.chess.com/game/live/170830987210, 2026-06-28, Philidor Defense
263, Tattica Generica, Media, 8/R4r2/2pk2qp/2bp4/8/1BP2N2/PP3PP1/R5K1 w - - 1 34, a7f7, https://www.chess.com/game/live/170830987210, 2026-06-28, Philidor Defense
264, Tattica Generica, Difficile, rnbqkb1r/pppp1ppp/8/4N3/2B1n3/8/PPPP1PPP/RNBQK2R b KQkq - 0 4, d7d5, https://www.chess.com/game/live/170830566958, 2026-06-28, Bishop's Opening
265, Tattica Generica, Difficile, rnbqkb1r/pp3ppp/2p5/3pN1n1/B2P4/8/PPP2PPP/RNBQK2R b KQkq - 1 7, b8d7, https://www.chess.com/game/live/170830566958, 2026-06-28, Bishop's Opening
266, Tattica Generica, Difficile, 8/p5k1/1ppb4/3pN2p/3P1Pb1/2P3K1/PPB5/8 b - - 5 32, c6c5, https://www.chess.com/game/live/170830566958, 2026-06-28, Bishop's Opening
267, Tattica Generica, Difficile, 8/p7/1pp1k1B1/3pP2p/3P2bK/2P5/PP6/8 b - - 4 35, g4e2, https://www.chess.com/game/live/170830566958, 2026-06-28, Bishop's Opening
268, Tattica Generica, Facile, 8/4k3/4P3/3p1K2/1p1P4/1P6/8/8 b - - 0 45, e7e8, https://www.chess.com/game/live/170830566958, 2026-06-28, Bishop's Opening
269, Tattica Generica, Difficile, r1b1kbnr/pp1ppppp/2q5/2p5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 5, e1g1, https://www.chess.com/game/live/172803459042, 2026-08-10, Sicilian Defense
270, Tattica Generica, Facile, 1k1r3r/pp6/1q1pQp2/3P3p/2p3nB/2N2N2/PPP2P2/R3R1K1 w - - 3 21, c3e4, https://www.chess.com/game/live/172803459042, 2026-08-10, Sicilian Defense
271, Tattica Generica, Facile, 1k2r2r/pp6/1q1pQB2/3P3p/2p3n1/2N2N2/PPP2P2/R3R1K1 w - - 1 22, e6e8, https://www.chess.com/game/live/172803459042, 2026-08-10, Sicilian Defense
272, Tattica Generica, Difficile, rn1q1rk1/ppp2ppp/4b3/3pP3/4n3/1BN5/PPP2PPP/R1BQ1RK1 b - - 0 9, e4c3, https://www.chess.com/game/live/172803307568, 2026-08-10, Bishop's Opening
273, Tattica Generica, Facile, 1r4k1/5pp1/7p/1R6/p1P5/P4P2/5K1P/8 b - - 2 31, b8c8, https://www.chess.com/game/live/172803307568, 2026-08-10, Bishop's Opening
274, Forchetta, Difficile, r1b2rk1/p4ppp/1bpq1n2/3p4/7P/2PP1NP1/P3PPB1/R1BQ1RK1 b - - 3 14, d6g3, https://www.chess.com/game/live/172795455586, 2026-08-10, Reti Opening
275, Pezzo Appeso, Difficile, 4r1k1/p4ppp/1b6/3p4/4BB1P/q3P1P1/5P2/1RR3K1 b - - 0 29, d5e4, https://www.chess.com/game/live/172795455586, 2026-08-10, Reti Opening
276, Tattica Generica, Difficile, r1b2b1r/pp1qnkpp/2p1p3/5p2/3PN3/1B2Q3/P1PB1PPP/R3R1K1 w - - 0 17, b3e6, https://www.chess.com/game/live/172787380012, 2026-08-10, Caro-Kann Defense
277, Tattica Generica, Difficile, r1b2b1r/pp2nkpp/2pqp3/2N2p2/3P4/1B2Q3/P1PB1PPP/R3R1K1 w - - 2 18, c5e6, https://www.chess.com/game/live/172787380012, 2026-08-10, Caro-Kann Defense
278, Scoperta, Difficile, r4bkr/pp2n2p/2pq2p1/5pN1/3P4/4Q3/P1PB1PPP/R3R1K1 w - - 2 21, e3b3, https://www.chess.com/game/live/172787380012, 2026-08-10, Caro-Kann Defense
279, Tattica Generica, Difficile, 3r1b1r/pp1Nnk1p/2p3p1/5p2/3P4/8/P1PB1PPP/R3R1K1 w - - 5 25, d7e5, https://www.chess.com/game/live/172787380012, 2026-08-10, Caro-Kann Defense
280, Tattica Generica, Media, 8/3r1k1p/p1p3p1/1p3p2/2nP4/2P5/PB3PPP/3R2K1 w - - 5 34, b2c1, https://www.chess.com/game/live/172787380012, 2026-08-10, Caro-Kann Defense
281, Tattica Generica, Difficile, 1r3rk1/N1p2p2/3b3p/3Ppb2/8/2P3P1/PP3PBP/2KR3R b - - 0 22, b8a8, https://www.chess.com/game/live/172787168968, 2026-08-10, Irregular Openings
282, Tattica Generica, Media, 8/6k1/2rp1pbp/1B2b3/1P3pP1/PKP4P/8/3R4 b - - 7 41, c6c3, https://www.chess.com/game/live/172787168968, 2026-08-10, Irregular Openings
283, Tattica Generica, Media, 8/6k1/1r3pbp/1B2b3/PP1P1pP1/1K5P/3R4/8 b - - 0 44, e5d6, https://www.chess.com/game/live/172787168968, 2026-08-10, Irregular Openings
284, Tattica Generica, Media, r7/1ppq1kp1/p1npbn1p/4p3/4P3/2NPP2P/PPP3P1/R2Q1RK1 b - - 0 14, f7g8, https://www.chess.com/game/live/172768705200, 2026-08-10, Italian Game
285, Tattica Generica, Facile, 6r1/1pR5/p2p3p/4p2k/4P3/3PP3/PPP4K/5R2 b - - 2 25, h5h4, https://www.chess.com/game/live/172768705200, 2026-08-10, Italian Game
286, Tattica Generica, Facile, 1r6/1pR5/p2p3p/4p2k/4P3/3PP2K/PPP5/5R2 b - - 4 26, b8g8, https://www.chess.com/game/live/172768705200, 2026-08-10, Italian Game
287, Tattica Generica, Difficile, r1b2rk1/ppppbppp/2n2nq1/8/4P3/3QBN1P/PPP2PP1/RN2KB1R b KQ - 0 10, c6b4, https://www.chess.com/game/live/172768492034, 2026-08-10, Center Game
288, Tattica Generica, Media, r1b2rk1/ppp2ppp/2np1nq1/b7/4P3/2PQBN1P/PP1NBPP1/R3K2R b KQ - 1 13, h7h6, https://www.chess.com/game/live/172768492034, 2026-08-10, Center Game
289, Tattica Generica, Difficile, r4rk1/ppp2ppp/2np1n2/b7/4P3/2PQBN1b/PP1NBPq1/2KR2R1 b - - 1 15, a5b6, https://www.chess.com/game/live/172768492034, 2026-08-10, Center Game
290, Tattica Generica, Difficile, r5rk/ppp2p1p/2np1n1B/b5N1/4P3/2PQ3b/PP1NBq2/2KR2R1 b - - 4 19, h3e6, https://www.chess.com/game/live/172768492034, 2026-08-10, Center Game
291, Tattica Generica, Difficile, 6k1/ppp2p1p/2np1n1B/b7/4P3/2PQ1N1b/PP2Bq2/2KR4 b - - 1 22, f6g4, https://www.chess.com/game/live/172768492034, 2026-08-10, Center Game
292, Tattica Generica, Media, 6k1/ppp2p1p/2np1n1B/b7/4P3/2P1QBq1/PP6/2K2R2 b - - 0 25, a5b6, https://www.chess.com/game/live/172768492034, 2026-08-10, Center Game
293, Tattica Generica, Difficile, r1bq1rk1/ppp2ppp/2n2n2/b2p4/1PBPP3/P4N1P/5PP1/RNBQR1K1 b - - 0 11, d5e4, https://www.chess.com/game/live/172768334620, 2026-08-10, Italian Game
294, Tattica Generica, Difficile, r4rk1/ppp2ppp/1bn1b3/3q4/1P1P4/P1N1BN1P/5PP1/R2QR1K1 b - - 3 15, d5c4, https://www.chess.com/game/live/172768334620, 2026-08-10, Italian Game
295, Tattica Generica, Difficile, 6k1/p4ppp/1pp1b3/6N1/1P3P2/r5P1/6KN/4R3 b - - 1 28, e6d5, https://www.chess.com/game/live/172768334620, 2026-08-10, Italian Game
296, Pezzo Appeso, Difficile, 6k1/p5p1/1p2R2p/2p5/1P3PN1/r5P1/6K1/8 b - - 1 31, c5b4, https://www.chess.com/game/live/172768334620, 2026-08-10, Italian Game
297, Tattica Generica, Media, 6k1/p5p1/1pR4p/8/1P3P2/5KP1/r1N5/8 b - - 2 35, a2b2, https://www.chess.com/game/live/172768334620, 2026-08-10, Italian Game
298, Tattica Generica, Facile, 6k1/p5p1/1pR3Kp/8/1r1N1P2/6P1/8/8 b - - 1 39, g8f8, https://www.chess.com/game/live/172768334620, 2026-08-10, Italian Game
299, Pezzo Appeso, Facile, r1b1kbn1/ppp1q2p/2p3p1/8/2BQ4/8/PPP2pPP/RNB1K2R w KQq - 0 11, e1f2, https://www.chess.com/game/live/172768280160, 2026-08-10, Italian Game
300, Tattica Generica, Facile, r2qkb1r/pQp2ppp/2n1bn2/3pp3/8/2PP2P1/PP2PPBP/RNB1K1NR b KQkq - 0 6, e6d7, https://www.chess.com/game/live/172713618272, 2026-08-08, Irregular Openings
301, Tattica Generica, Difficile, r2qkb1r/p1pb1ppp/5n2/4p3/2Qp4/2PP2P1/PP2PPBP/RNB1K1NR b KQkq - 2 8, c7c5, https://www.chess.com/game/live/172713618272, 2026-08-08, Irregular Openings
302, Pezzo Appeso, Difficile, B2qk2r/p1p2ppp/Q2bbn2/4p3/3p4/2PP2P1/PP2PP1P/RNB1K1NR b KQk - 0 10, d8a8, https://www.chess.com/game/live/172713618272, 2026-08-08, Irregular Openings
303, Pezzo Appeso, Facile, 1q2r1k1/p4ppp/3Q1n2/8/3p4/3P2P1/PP2PP1P/R1B2KNR b - - 0 19, b8d6, https://www.chess.com/game/live/172713618272, 2026-08-08, Irregular Openings
304, Tattica Generica, Difficile, 4r1k1/p4ppp/8/8/P2QP1n1/3P1NP1/1Pq2PKP/R1B4R b - - 2 24, f7f5, https://www.chess.com/game/live/172713618272, 2026-08-08, Irregular Openings
305, Tattica Generica, Difficile, r2q1rk1/pppb1ppp/2nbpn2/3p4/3P4/2PBPNB1/PP1NQPPP/R3K2R b KQ - 6 9, c6e7, https://www.chess.com/game/live/172697317764, 2026-08-08, London System
306, Tattica Generica, Difficile, r2q1rk1/ppp3pp/8/3p1B2/6Q1/2P1P1P1/PP1N1PP1/R3K2R b KQ - 0 15, h7h6, https://www.chess.com/game/live/172697317764, 2026-08-08, London System
307, Tattica Generica, Media, rn1q1rk1/ppp2ppp/3b1n2/4p3/6b1/2NB1N2/PPP2PPP/R1BQR1K1 w - - 4 10, h2h3, https://www.chess.com/game/live/172697240846, 2026-08-08, Scandinavian Defense
308, Pezzo Appeso, Facile, rn1r4/ppp2ppk/5n2/8/8/8/PbP2PPP/R1B3K1 w - - 0 16, c1b2, https://www.chess.com/game/live/172697240846, 2026-08-08, Scandinavian Defense
309, Tattica Generica, Difficile, r2q1rk1/2p2pp1/p1pp4/4p2p/3PP1b1/P1N1PN2/1PP5/R2QK1R1 b Q - 0 15, f7f5, https://www.chess.com/game/live/172696853380, 2026-08-08, Italian Game
310, Tattica Generica, Media, r2q1rk1/2p2pp1/p1pp4/7p/3PP1b1/P1N2N2/1PP5/R2QK1R1 b Q - 0 16, f7f5, https://www.chess.com/game/live/172696853380, 2026-08-08, Italian Game
311, Tattica Generica, Difficile, r2q1rk1/2p2pp1/p1p5/3p3p/3PP1b1/P1N2N2/1PP1Q3/R3K1R1 b Q - 1 17, d5e4, https://www.chess.com/game/live/172696853380, 2026-08-08, Italian Game
312, Forchetta, Difficile, r3r1k1/2p1qpp1/p1p5/7p/3PN1b1/P4N2/1PP1Q3/2K1R1R1 b - - 2 20, e7e4, https://www.chess.com/game/live/172696853380, 2026-08-08, Italian Game
313, Tattica Generica, Facile, 7k/R7/p2r4/2p2pNp/6b1/P7/1PK5/8 b - - 4 33, h8g8, https://www.chess.com/game/live/172696853380, 2026-08-08, Italian Game
314, Tattica Generica, Facile, 7k/R7/p2r4/2p4p/4Npb1/P7/1PK5/8 b - - 1 34, g4f5, https://www.chess.com/game/live/172696853380, 2026-08-08, Italian Game
315, Tattica Generica, Media, 1r3rk1/1ppqnppp/p2p4/4p3/1P2P1b1/P1PPPN2/B5PP/R2Q1RK1 b - - 2 14, g4e6, https://www.chess.com/game/live/172670267718, 2026-08-07, Italian Game
316, Tattica Generica, Difficile, 1r3rk1/1ppqnppp/p7/3Pp3/1P4b1/P1PPPN2/B5PP/R2Q1RK1 b - - 0 15, e7g6, https://www.chess.com/game/live/172670267718, 2026-08-07, Italian Game
317, Tattica Generica, Difficile, r2k1r2/pppb1Bpp/1n4P1/4p3/4P3/8/PPP2PP1/2KR3R b - - 0 15, h7g6, https://www.chess.com/game/live/172669635000, 2026-08-07, Four Knights Game
318, Tattica Generica, Difficile, r2k1r2/pppb1Bp1/1n4Pp/4p3/4P3/8/PPPR1PP1/2K4R b - - 1 16, d8e7, https://www.chess.com/game/live/172669635000, 2026-08-07, Four Knights Game
319, Scoperta, Media, 3r1r2/ppkb1Bp1/1np3Pp/4p3/4P3/P4P2/1PPR2P1/2KR4 b - - 0 19, d7c8, https://www.chess.com/game/live/172669635000, 2026-08-07, Four Knights Game
320, Tattica Generica, Difficile, 3r4/ppkb1Bp1/2p2rP1/4p2p/4P3/P4P2/1PPR2P1/2K4R b - - 1 22, d8h8, https://www.chess.com/game/live/172669635000, 2026-08-07, Four Knights Game
321, Tattica Generica, Difficile, r1bqk1nr/1pp2ppp/p1pb4/8/3QP3/2N2N2/PPP2PPP/R1B1K2R b KQkq - 0 7, f7f6, https://www.chess.com/game/live/172669527034, 2026-08-07, Spanish Game
322, Tattica Generica, Difficile, r2q2n1/1pp1k1Qp/p1p1bp2/6B1/4P3/2P2N2/P1P2PPP/R3K2R b KQ - 1 13, e7e8, https://www.chess.com/game/live/172669527034, 2026-08-07, Spanish Game
323, Tattica Generica, Facile, 2k3n1/1pp3Qp/p1p1b3/2r1N3/8/2P5/P1P2PPP/R3R1K1 b - - 10 21, b7b6, https://www.chess.com/game/live/172669527034, 2026-08-07, Spanish Game
324, Forchetta, Difficile, rnb1k1nr/4b1q1/p1pp1p2/4p2p/N3P1pN/3BB2P/PPPQ1PP1/3R1RK1 w kq - 2 15, a4b6, https://www.chess.com/game/live/172669204178, 2026-08-07, Pirc Defense
325, Tattica Generica, Facile, 2r1k3/6q1/3b1p1r/p2p1P2/3Np1P1/3B4/PPPQ2Rp/3R3K w - - 0 30, d3b5, https://www.chess.com/game/live/172669204178, 2026-08-07, Pirc Defense
326, Tattica Generica, Difficile, 2r1k3/6q1/5p1r/p2p1P2/3Np1P1/3B4/PPPQ2Rb/6K1 w - - 1 32, g2h2, https://www.chess.com/game/live/172669204178, 2026-08-07, Pirc Defense
327, Tattica Generica, Difficile, 2r1k3/6q1/5p1r/p2pbP2/3Np1P1/3B4/PPPQ1KR1/8 w - - 3 33, d3b5, https://www.chess.com/game/live/172669204178, 2026-08-07, Pirc Defense
328, Tattica Generica, Facile, 2r5/5k2/q3Np1r/p2p1P2/6P1/8/PQP1K1R1/8 w - - 1 38, e2d2, https://www.chess.com/game/live/172669204178, 2026-08-07, Pirc Defense
329, Tattica Generica, Facile, 2r5/5k2/q3Np2/p2p1P2/6P1/5K1r/PQP3R1/8 w - - 3 39, f3f2, https://www.chess.com/game/live/172669204178, 2026-08-07, Pirc Defense
330, Tattica Generica, Facile, 2r5/5k2/3qNp2/p2p1P2/6P1/6K1/PQP5/8 w - - 1 41, g3f3, https://www.chess.com/game/live/172669204178, 2026-08-07, Pirc Defense
331, Scoperta, Difficile, r1bqr1k1/ppp2pp1/1b3n1p/8/1P2p2B/P2N4/2P1NPPP/R2QR1K1 w - - 0 17, d3c5, https://www.chess.com/game/live/172582212454, 2026-08-05, French Defense
332, Tattica Generica, Difficile, r3r1k1/pp3p2/2p5/5b2/1P5R/P3b1B1/2P3PP/4R2K w - - 4 27, e1f1, https://www.chess.com/game/live/172582212454, 2026-08-05, French Defense
333, Tattica Generica, Difficile, 8/pp6/2p2p1R/6k1/1P2b3/P5P1/2P2K2/4r3 w - - 0 36, h6h4, https://www.chess.com/game/live/172582212454, 2026-08-05, French Defense
334, Tattica Generica, Difficile, rnbq1rk1/p4ppp/1p6/4P3/1b1N1P2/2N3P1/PP5P/R2QKB1R b KQ - 0 14, c8b7, https://www.chess.com/game/live/172582098388, 2026-08-05, Queen's Gambit
335, Forchetta, Media, rnb2rk1/p4ppp/1p6/4P2Q/3NqP2/2PB2P1/P6P/2KR4 b - - 3 18, e4e3, https://www.chess.com/game/live/172582098388, 2026-08-05, Queen's Gambit
336, Tattica Generica, Difficile, 5rk1/p6p/1p4p1/4n1PP/3Q4/2P5/P7/2K5 b - - 1 29, f8e8, https://www.chess.com/game/live/172582098388, 2026-08-05, Queen's Gambit
337, Tattica Generica, Difficile, 5rk1/p6p/1p4p1/3Q2PP/8/2P2n2/P7/2K5 b - - 3 30, f8f7, https://www.chess.com/game/live/172582098388, 2026-08-05, Queen's Gambit
338, Tattica Generica, Facile, 5r1k/p6p/1p4pP/3Q2P1/8/2P2n2/P7/2K5 b - - 0 31, f8c8, https://www.chess.com/game/live/172582098388, 2026-08-05, Queen's Gambit
339, Matto Mancato, Facile, r4rk1/1pp2ppp/p1b1p3/3qN3/3P1P2/1Q6/PP2N1PP/5RK1 b - - 2 17, d5g2, https://www.chess.com/game/live/172581884666, 2026-08-05, Queen's Pawn Opening
340, Tattica Generica, Difficile, 4N1k1/1r4Pp/8/2p5/5R2/7P/6PK/1r6 b - - 0 33, b7f7, https://www.chess.com/game/live/172581884666, 2026-08-05, Queen's Pawn Opening
341, Tattica Generica, Media, 8/2r3kp/8/8/8/4N2P/1rp3PK/2R5 b - - 1 41, c7c3, https://www.chess.com/game/live/172581884666, 2026-08-05, Queen's Pawn Opening
342, Tattica Generica, Difficile, rn1qk2r/1bp2pb1/pp1p1npp/3Pp3/4P3/2NBBN2/PPPQ1PPP/R4RK1 w kq e6 0 10, d5e6, https://www.chess.com/game/live/172532459622, 2026-08-04, Nimzowitsch Defense
343, Tattica Generica, Media, rnq1k1nr/2pb2b1/pp1p3p/3Ppp2/2P5/1P1BBNN1/P2Q1PPP/3R1RK1 w kq - 0 16, f3h4, https://www.chess.com/game/live/172532459622, 2026-08-04, Nimzowitsch Defense
344, Tattica Generica, Difficile, rn2k1r1/2p1n1b1/pp1p3p/3Pp3/2P1q3/1P2BN1P/P2Q1PP1/3R1RK1 w q - 5 23, f3h2, https://www.chess.com/game/live/172532459622, 2026-08-04, Nimzowitsch Defense
345, Pezzo Appeso, Difficile, r1bqk2r/ppp2ppp/2n2n2/4N3/3P4/8/PP1NQPPP/R3KB1R b KQkq - 0 10, c6d4, https://www.chess.com/game/live/172532098868, 2026-08-04, Ponziani
346, Tattica Generica, Difficile, r2q1rk1/ppp2ppp/4b3/N2nP3/8/8/PP2QPPP/2KR1B1R b - - 6 14, d8e7, https://www.chess.com/game/live/172532098868, 2026-08-04, Ponziani
347, Forchetta, Media, r4rk1/p1p3pp/1pN1bq2/1B1n4/8/5P2/PPQ3PP/2KR3R b - - 0 19, d5e3, https://www.chess.com/game/live/172532098868, 2026-08-04, Ponziani
348, Tattica Generica, Difficile, r1b2rk1/ppp1q1pp/2pn1p2/2P5/3P4/5N2/P1P2PPP/R1BQ1RK1 b - - 0 12, d6c4, https://www.chess.com/game/live/172531697182, 2026-08-04, C49
349, Tattica Generica, Facile, 8/p5p1/1p3p1p/2p2k2/2r2P1P/1RP2KP1/8/8 b - - 2 34, h6h5, https://www.chess.com/game/live/172531697182, 2026-08-04, C49
350, Tattica Generica, Difficile, 8/p4kp1/1p3p1p/2p1rP1P/6P1/R1P2K2/8/8 b - - 2 38, e5e7, https://www.chess.com/game/live/172531697182, 2026-08-04, C49
351, Pezzo Appeso, Media, r2qk2r/pp1bbppp/4pn2/3p4/1QpP1B2/2P1P3/PP3PPP/RN2KB1R b KQkq - 1 9, e7b4, https://www.chess.com/game/live/172487311136, 2026-08-03, London System
352, Tattica Generica, Media, r2qk2r/p2bbppp/1p1Bpn2/3p4/1QpP4/2P1P3/PP3PPP/RN2KB1R b KQkq - 1 10, b6b5, https://www.chess.com/game/live/172487311136, 2026-08-03, London System
353, Forchetta, Difficile, 1r4k1/6pp/4pp2/p7/PPpP4/3pP1P1/1R1N1P1P/4K2R b K - 0 29, c4c3, https://www.chess.com/game/live/172487311136, 2026-08-03, London System
354, Tattica Generica, Difficile, r4r1k/pppq1pp1/2np2bp/4p3/2B1P2N/3PP3/PPPN4/R2QK2R b Q - 3 17, c6a5, https://www.chess.com/game/live/172487147140, 2026-08-03, Italian Game
355, Tattica Generica, Facile, r4r1k/pppq2p1/3p3p/4pN2/1nN1P3/3PP3/1PP1Q3/1K4RR b - - 3 23, f8f5, https://www.chess.com/game/live/172487147140, 2026-08-03, Italian Game
356, Scoperta, Facile, r4r2/pppq1k1R/3p4/4pNR1/1nN1P3/3PP3/1PP1Q3/1K6 b - - 2 26, f7e8, https://www.chess.com/game/live/172487147140, 2026-08-03, Italian Game
357, Tattica Generica, Difficile, 5rk1/p5pp/2Bn1p2/3P4/4P3/5PP1/P6P/R5K1 b - - 0 30, f8b8, https://www.chess.com/game/live/172426397874, 2026-08-02, Irregular Openings
358, Pezzo Appeso, Difficile, 1r4k1/6pp/2Bn1p2/p2P4/P3PP1P/6P1/8/R5K1 b - - 0 33, d6e4, https://www.chess.com/game/live/172426397874, 2026-08-02, Irregular Openings
359, Pezzo Appeso, Difficile, 6k1/6pp/2BP4/p3P3/Prn4P/6P1/8/R5K1 b - - 0 36, c4e5, https://www.chess.com/game/live/172426397874, 2026-08-02, Irregular Openings
360, Tattica Generica, Media, 5k2/6pp/1r1P4/p3P3/P1B4P/6P1/8/R5K1 b - - 0 38, f8e8, https://www.chess.com/game/live/172426397874, 2026-08-02, Irregular Openings
361, Tattica Generica, Facile, 5k2/6pp/2rP4/pB2P3/P6P/6P1/8/R5K1 b - - 2 39, c6d6, https://www.chess.com/game/live/172426397874, 2026-08-02, Irregular Openings
362, Forchetta, Difficile, r1bqkb1r/1ppp1ppp/n7/p2Pp3/8/PQ1BP3/1P1P1PPP/R1B1K1NR b KQkq - 2 8, a6c5, https://www.chess.com/game/live/172426217272, 2026-08-02, English Opening
363, Tattica Generica, Difficile, r1bq1rk1/1pp1bppp/n2p4/p2Pp3/7P/P2BP3/1PQPNPP1/R1B1K2R b KQ - 2 11, h7h6, https://www.chess.com/game/live/172426217272, 2026-08-02, English Opening
364, Tattica Generica, Difficile, r2q1r1k/1pp1b1p1/3p2B1/p1nPpp1P/6b1/P3P1N1/1PQP1PP1/R1B1K2R b KQ - 3 15, e5e4, https://www.chess.com/game/live/172426217272, 2026-08-02, English Opening
365, Pezzo Appeso, Difficile, r4r1k/1ppqb1p1/3p2BP/p1nP1p2/6b1/P3PPN1/1PQP4/R1B1K2R b KQ - 0 18, g4f3, https://www.chess.com/game/live/172426217272, 2026-08-02, English Opening
366, Tattica Generica, Facile, r4r1k/1ppqb1p1/3p3P/p2P1B2/8/P2QPbN1/1P1P4/R1B1K2R b KQ - 0 20, f8f5, https://www.chess.com/game/live/172426217272, 2026-08-02, English Opening
367, Pezzo Appeso, Facile, r3qr1k/1pp1b1p1/3pB2P/p2P4/8/P2QPbN1/1P1P4/R1B1K2R b KQ - 2 21, f3h1, https://www.chess.com/game/live/172426217272, 2026-08-02, English Opening
368, Tattica Generica, Difficile, rn3rk1/pp3ppb/q1p1p2p/3pP3/3P1NP1/P6P/1PPQ1PB1/1KR1R3 w - - 3 24, g4g5, https://www.chess.com/game/live/172425988010, 2026-08-02, Caro-Kann Defense
369, Tattica Generica, Facile, r4rk1/5p1b/q1p1p1p1/p1PpP1P1/1p6/P6B/1PPQ1P2/1KR1R3 w - - 0 35, a3a4, https://www.chess.com/game/live/172425988010, 2026-08-02, Caro-Kann Defense
370, Tattica Generica, Media, r4rk1/5p1b/2p1p1p1/q1PpP1P1/1pP5/7B/1P1Q1P2/1KR1R3 w - - 1 37, c4d5, https://www.chess.com/game/live/172425988010, 2026-08-02, Caro-Kann Defense
371, Scoperta, Media, r4rk1/5p1b/2p1p1p1/2qpP1P1/1pP5/1P5B/3Q1P2/1KR1R3 w - - 0 38, c4d5, https://www.chess.com/game/live/172425988010, 2026-08-02, Caro-Kann Defense
372, Tattica Generica, Facile, r5k1/5p1b/2p1p1p1/3pP1P1/1pPq4/1P5B/3K1P2/R3R3 w - - 3 42, d2e2, https://www.chess.com/game/live/172425988010, 2026-08-02, Caro-Kann Defense
373, Tattica Generica, Facile, r3kb1r/pp1bq2p/2pp1p1p/8/2B1P3/2NQ4/PPP2PPP/3RK2R w Kkq - 2 12, e1g1, https://www.chess.com/game/live/172419912990, 2026-08-02, Italian Game
374, Tattica Generica, Difficile, r2q1rk1/p1p2ppp/1pnp1n2/2b1p3/4P3/1QPP1N1P/PP1N1PP1/R1B1R1K1 b - - 1 11, d8d7, https://www.chess.com/game/live/172391346608, 2026-08-01, Italian Game
375, Tattica Generica, Difficile, r2q1rk1/p1p2ppp/1p1p1nn1/2b1p3/4P3/1QPP1NNP/PP3PP1/R1B1R1K1 b - - 5 13, d6d5, https://www.chess.com/game/live/172391346608, 2026-08-01, Italian Game
376, Tattica Generica, Difficile, 8/Q4ppk/1p2q2p/2p2n2/8/2P2N1P/PP3PP1/6K1 b - - 0 29, f5e7, https://www.chess.com/game/live/172391346608, 2026-08-01, Italian Game
377, Tattica Generica, Difficile, 8/2n5/4pkpp/2p5/2P3P1/3K1N1P/5P2/8 b - - 2 45, c7e8, https://www.chess.com/game/live/172391346608, 2026-08-01, Italian Game
378, Tattica Generica, Difficile, 8/2n5/5kpp/2p1p3/2P3PP/3K1N2/5P2/8 b - - 0 46, f6e6, https://www.chess.com/game/live/172391346608, 2026-08-01, Italian Game
379, Tattica Generica, Difficile, r4rk1/ppp3pp/3p4/4pp2/2P1P3/4BP2/PbP2P1P/1R2R1K1 b - - 1 15, b2c3, https://www.chess.com/game/live/172391214756, 2026-08-01, Italian Game
380, Tattica Generica, Difficile, r4rk1/p2R2pp/2pp4/5p2/2PpP3/5P2/P1P2P1P/4R1K1 b - - 1 18, f8d8, https://www.chess.com/game/live/172391214756, 2026-08-01, Italian Game
381, Tattica Generica, Media, 3r4/5k1p/2P1R1p1/4Kp2/p7/5P2/P1P2P1P/8 b - - 8 33, d8d2, https://www.chess.com/game/live/172391214756, 2026-08-01, Italian Game
382, Tattica Generica, Media, 2k5/2P4p/2K3p1/5p2/p7/5P2/P1P2P1P/8 b - - 2 37, g6g5, https://www.chess.com/game/live/172391214756, 2026-08-01, Italian Game
383, Tattica Generica, Facile, 2k5/2P5/2K3pp/5p2/p1P5/5P2/P4P1P/8 b - - 0 38, g6g5, https://www.chess.com/game/live/172391214756, 2026-08-01, Italian Game
384, Tattica Generica, Facile, 2k5/2P5/3K3p/2P5/5pP1/p4P2/P4P2/8 b - - 0 42, h6h5, https://www.chess.com/game/live/172391214756, 2026-08-01, Italian Game
385, Tattica Generica, Facile, 2k5/2P5/3K4/2P4P/5p2/p4P2/P4P2/8 b - - 0 43, c8b7, https://www.chess.com/game/live/172391214756, 2026-08-01, Italian Game
386, Tattica Generica, Difficile, 8/p1pkBn2/1p4N1/1PPP1pp1/3Kp1b1/P3P1P1/8/8 b - - 0 35, g4h5, https://www.chess.com/game/live/172390758036, 2026-08-01, Irregular Openings
387, Tattica Generica, Difficile, r1bqkb1r/p3nppp/2p1p3/3p4/4P3/2N1B3/PPP2PPP/R2QKB1R w KQkq - 2 8, d1d4, https://www.chess.com/game/live/172390516034, 2026-08-01, C10
388, Forchetta, Difficile, r3k2r/p2qbppp/4p1n1/3p4/3Q4/2N1B3/PPP2PPP/R3K2R w KQkq - 2 13, d4g7, https://www.chess.com/game/live/172390516034, 2026-08-01, C10
